UPS Model,4,5,6,0,Hex,Firmware
BP280I,,,,,13,xx.L.I
BP420I,,,,,0B,xx.K.I
BP650I,,,,,0F,xx.K.I
SU420v/s,,,,,3,xx.K.I
SU650v/s,,,,,7,xx.K.I
SU250,,EE,F8,B1,,
SU400,,EE,F8,9F,E1,
SU600,,EA,F4,9F,E5,
SU900,,F3,FC,9F,ED,
SU1250,,EE,FA,9F,F5,
SU2000,,F1,F9,9F,FD,
"SU450,700",28,F2,FA,96,"07,RM=47",52.11.I
"SU450XL,700XL",28,EE,F8,9F,700XL=27,51.9.I
SU1000,35,EF,F9,A0,0B,60.11.I
SU1000XL,34,EE,FC,9A,2B,61.9.I
SU1400,35,EE,FC,9A,,
SU1400RM,28,ED,FA,89,,
SU1400R2IBX135,8,B4,10,A3,,
SU1400RMXLI3U,45,F6,F4,80,,73.x.I
SU1400RMXLI3U,20,F3,FD,81,,73.x.I
SU2200I,35,EE,FB,AF,,90.14.I
"SU2200XL,3000",35,EE,FB,AF,3000=17,90.14.I
SU3000RMXLI3Ublk,35,F3,F4,AF,77,93.14.I
SU5000I white,20,F2,FA,91,1F,110.14.I
"SU1400XL,XLI,RM",45,F6,E4,80,,
SU420I,25,95,9,85,16,21.7.I
SU420SI,0E,95,0A,8C,,
SU620I,29,99,0B,8A,1A,
BP420SI,0E,95,0A,8C,6,11.2.I
BP650SI,10,97,0C,91,0A,12.3.I
Power Stack 250,0C,95,0F,B2,,26.5.I
Power Stack 450,0D,96,10,99,36,26.5.I
SC250RMI1U,0C,95,0F,B3,32,735.a.1
SC450RMI1U,0D,96,10,99,36,736.a.1
SC420I,0E,95,OA,8C,16,725.1.I
SC620I,10,97,OB,99,1A,726.x.I
SC1000I,8,95,10,94,8A,737.x.I
SC1500I,7,95,14,8F,1E,738.x.I
SU1000XL,17,EE,F9,D5,,
"MATRIX 3000,5000",,E9,F5,B0,,
SU700RMI2U,7,B1,0D,92,8A,152.4.I
SU1000RMI2U,8,B5,0D,C7,8E,157.3.I
SU1400RMI2U,8,B4,10,A3,92,162.3.I
SUA1000I,7,B5,13,BC,0A,652.12.I
SUA1000XLI,0B,BD,0F,7F,4A,681.13.I
SUA750XLI,0A,B9,0C,86,46,630.3.I
SUA750I,4,B6,14,82,6,651.12.I
SUA750RMI2U,7,B1,0D,82,86,619.12.I
SUA750RMI1U,5,B2,10,92,8A,615.x.I
SUA1000RMI1U,5,B2,10,70,8A,616.x.I
SUA1000RMI2U,8,B5,0D,BC,8A,669.x.I
SUA1500I,9,B9,13,A1,0E,601/653.x.I
SUA1500RMI2U,8,B4,10,A1,8E,617.3.I
SUA2200I,8,B8,12,B3,26,654.12.I
SUA2200RMI2U,9,BC,11,81,A6,665.4.I
SUA2200XLI,0A,B7,0F,7F,66,690.x.I
SUA3000XLI,0A,B5,E0,89,6A,691.x.I
SUA3000RMI2U,4,B9,0E,70,AA,666.4.I
SUA3000RMXLI3U,0A,B6,0E,89,,
SU5000R5IBX120,20,F2,FA,91,5F,112.14.I
SUOL1000I,6,B6,1B,A6,,
SUOL2000XL,0D,BD,14,75,52,416.5.I
SURT1000XLI,0A,BB,19,A8,4E,411.x.I
SURT3000XLI,6,B6,0F,CC,56,450.2.I
SURT3000XLI,6,B6,0F,CC,D6,450.17.I
SURT5000XLI,5,BA,15,86,5A,451.xx.W
SURT6000XLI,7,BE,24,7E,5C,452.xx.W
SURT7500XLI,3,BB,20,97,63,
SURT8000XLI,0A,C0,28,A0,E4,472.xx.W
SURT10000XLI,6,B8,19,AB,68,476.xx.W
SUM1500RMXLI2U,3,B7,0D,A5,62,716.3.I
SUM3000RMXLI2U,3,B7,0D,A5,6A,715.3.I
SRC3000RMI5U,0A,BD,1E,CC,56,441.04.I
SMC3000I,9,BF,12,93,2A,.05.I
BP500AVR,,,,,26,17.1.I